near-touch slate bids to withdraw: 33

  enwc-uspres-nom-dem-2028-rokha                  33.0 @  9.0c -> cancelled
  enwc-uspres-nom-rep-2028-rondes                 50.0 @  5.0c -> cancelled
  enwc-uspres-nom-dem-2028-micoba                 30.0 @ 10.0c -> cancelled
  ewc-usp-2028-11-07-rahema                       20.0 @ 10.0c -> cancelled
  ewc-usp-2028-11-07-stasmi                        1.0 @  9.0c -> cancelled
  ewc-usp-2028-11-07-stasmi                       22.0 @ 10.0c -> cancelled
  enwc-uspres-nom-rep-2028-jdvan                  24.0 @ 49.0c -> cancelled
  ewc-usp-2028-11-07-rokha                        22.0 @ 10.0c -> cancelled
  ewc-usp-2028-11-07-dwajoh                       25.0 @  9.0c -> cancelled
  ewc-usp-2028-11-07-tulgab                       22.0 @ 10.0c -> cancelled
  ewc-usp-2028-11-07-jamtal                       18.0 @ 12.0c -> cancelled
  enwc-uspres-nom-dem-2028-jonoss                 47.0 @ 15.0c -> cancelled
  enwc-uspres-nom-dem-2028-jonoss                 25.0 @ 13.0c -> cancelled
  enwc-uspres-nom-dem-2028-kamhar                 50.0 @ 11.0c -> cancelled
  enwc-uspres-nom-dem-2028-stasmi                 33.0 @  9.0c -> cancelled
  ewc-usp-2028-11-07-jdvan                       100.0 @ 20.0c -> cancelled
  enwc-uspres-nom-rep-2028-marrub                 50.0 @ 26.0c -> cancelled
  enwc-uspres-nom-rep-2028-marrub                100.0 @  8.0c -> cancelled
  ewc-usp-2028-11-07-thomas                       13.0 @ 16.0c -> cancelled
  ewc-usp-2028-11-07-wesmoo                       29.0 @  8.0c -> cancelled
  ewc-usp-party-2028-11-07-dem                    75.0 @ 53.0c -> cancelled
  ewc-usp-party-2028-11-07-dem                   100.0 @ 53.0c -> cancelled
  enwc-uspres-nom-dem-2028-petbut                114.0 @  7.0c -> cancelled
  ewc-usp-2028-11-07-rondes                       25.0 @  9.0c -> cancelled
  ewc-usp-2028-11-07-gavnew                       40.0 @ 11.0c -> cancelled
  ewc-usp-2028-11-07-vivram                       20.0 @ 11.0c -> cancelled
  enwc-uspres-nom-dem-2028-andbes                 27.0 @ 15.0c -> cancelled
  ewc-usp-2028-11-07-gleyou                       12.0 @ 25.0c -> cancelled
  ewc-usp-2028-11-07-kamhar                       50.0 @ 10.0c -> cancelled
  ewc-usp-2028-11-07-micoba                       22.0 @ 10.0c -> cancelled
  ewc-usp-2028-11-07-jossha                       25.0 @  9.0c -> cancelled
  enwc-uspres-nom-dem-2028-aleocc                 61.0 @ 18.0c -> cancelled
  ewc-usp-2028-11-07-andbes                       25.0 @  9.0c -> cancelled

cancelled 33, failed 0
