day,family,est_usd,unmeasured_min,recorded_at,paid_usd,paid_at,error_pct
2026-08-20,cfb,0.03,79.5,2026-08-23T17:36:55Z,18364.71,2026-08-23T17:36:55Z,+61215600.0
2026-08-20,nfl,0.00,0.0,2026-08-23T17:36:55Z,3593.52,2026-08-23T17:36:55Z,
2026-08-20,politics,6.23,0.0,2026-08-23T17:36:55Z,71733.69,2026-08-23T17:36:55Z,+1151323.6
2026-08-21,cfb,40.68,1030.4,2026-08-23T17:36:55Z,10787.07,2026-08-24T14:56:24Z,+26416.9
2026-08-21,nfl,0.00,0.0,2026-08-23T17:36:55Z,,,
2026-08-21,politics,255.22,32.7,2026-08-23T17:36:55Z,49768.95,2026-08-24T14:56:24Z,+19400.4
2026-08-22,cfb,47.66,1156.1,2026-08-23T17:36:55Z,35368.83,2026-08-24T15:56:24Z,+74110.7
2026-08-22,nba,0.00,26.2,2026-08-23T17:36:55Z,,,
2026-08-22,nfl,0.00,164.5,2026-08-23T17:36:55Z,,,
2026-08-22,politics,366.17,73.2,2026-08-23T17:36:55Z,65842.14,2026-08-24T15:56:24Z,+17881.3
2026-08-23,cfb,54.22,988.6,2026-08-23T17:36:55Z,52395.85,2026-08-25T02:01:16Z,+96535.7
2026-08-23,nba,0.08,671.0,2026-08-23T17:36:55Z,16.17,2026-08-25T02:01:16Z,+20112.5
2026-08-23,nfl,0.00,0.0,2026-08-23T17:36:55Z,,,
2026-08-23,politics,256.56,58.7,2026-08-23T17:36:55Z,19453.86,2026-08-25T02:01:16Z,+7482.6
2026-08-24,cfb,28.24,953.9,2026-08-24T04:26:59Z,6725.69,2026-08-26T02:00:13Z,+23716.2
2026-08-24,nba,0.15,685.1,2026-08-24T04:26:59Z,110.23,2026-08-26T02:00:13Z,+73386.7
2026-08-24,nfl,0.00,0.0,2026-08-24T04:26:59Z,,,
2026-08-24,politics,182.91,73.7,2026-08-24T04:26:59Z,5761.78,2026-08-26T02:00:13Z,+3050.1
2026-08-25,cfb,29.87,951.4,2026-08-25T04:42:13Z,,,
2026-08-25,nba,0.02,271.4,2026-08-25T04:42:13Z,,,
2026-08-25,nfl,0.00,0.0,2026-08-25T04:42:13Z,,,
2026-08-25,politics,167.96,404.7,2026-08-25T04:42:13Z,,,
2026-08-26,cfb,11.69,697.5,2026-08-26T04:25:02Z,,,
2026-08-26,nba,0.00,0.0,2026-08-26T04:25:02Z,,,
2026-08-26,nfl,0.00,0.0,2026-08-26T04:25:02Z,,,
2026-08-26,politics,80.64,566.4,2026-08-26T04:25:02Z,,,
