checked_at_utc,family,est_day,est_day_perevent
2026-08-16 02:29:36,governor,136.05,
2026-08-16 02:29:36,nominee-2028,363.75,
2026-08-16 02:29:36,other,53.81,
2026-08-16 02:29:36,party-2028,130.38,
2026-08-16 02:29:36,senate,84.65,
2026-08-16 02:29:36,winner-2028,248.64,
2026-08-16 02:35:19,governor,140.94,
2026-08-16 02:35:19,nominee-2028,369.84,
2026-08-16 02:35:19,other,52.34,
2026-08-16 02:35:19,party-2028,130.38,
2026-08-16 02:35:19,senate,85.85,
2026-08-16 02:35:19,winner-2028,253.24,
2026-08-16 02:42:10,governor,122.99,122.99
2026-08-16 02:42:10,nominee-2028,105.60,398.04
2026-08-16 02:42:10,other,51.77,51.77
2026-08-16 02:42:10,party-2028,4.35,130.38
2026-08-16 02:42:10,senate,67.85,67.85
2026-08-16 02:42:10,winner-2028,138.42,307.28
