2028 slate: 60 markets — join each fair ask touch with 5 shares

market                                      touch  at-touch our off  est$/d  action
enwc-uspres-nom-dem-2028-aleocc             39.0c      25.0       0    4.90  already at the touch (25) — skip
enwc-uspres-nom-dem-2028-andbes             25.0c       3.0       0   11.20  already at the touch (3) — skip
enwc-uspres-nom-dem-2028-dwajoh              3.0c       3.0       0   11.20  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-gavnew              3.0c       3.0       0   18.38  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-jamtal             25.0c      14.1       0    6.07  already at the touch (14.1) — skip
enwc-uspres-nom-dem-2028-jbpri              25.0c      33.0       0    2.31  already at the touch (33) — skip
enwc-uspres-nom-dem-2028-jonoss             35.0c       7.0       0   11.11  already at the touch (5) — skip
enwc-uspres-nom-dem-2028-jonste              3.0c       3.0       0   11.20  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-jossha              3.0c       3.0       0   18.38  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-kamhar             43.0c       2.0       0   12.12  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-markel              3.0c       3.0       0   18.38  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-micoba             23.0c       1.0       0   11.82  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-petbut             37.0c      37.0       0    3.12  already at the touch (36.98) — skip
enwc-uspres-nom-dem-2028-rahema             24.0c       1.0       0    6.96  already at the touch (1) — skip
enwc-uspres-nom-dem-2028-rokha              25.0c      33.0       0    2.31  already at the touch (33) — skip
enwc-uspres-nom-dem-2028-stasmi             14.0c       2.0      11   21.01  join
enwc-uspres-nom-dem-2028-wesmoo             25.0c      33.0       0    3.41  already at the touch (33) — skip
enwc-uspres-nom-rep-2028-dontru              3.0c       7.0       0   13.49  already at the touch (5) — skip
enwc-uspres-nom-rep-2028-dontrujr            3.0c       7.0       0   14.88  already at the touch (5) — skip
enwc-uspres-nom-rep-2028-elomus              3.0c       3.0       0   13.60  already at the touch (1) — skip
enwc-uspres-nom-rep-2028-gleyou              3.0c       7.0       0   10.43  already at the touch (5) — skip
enwc-uspres-nom-rep-2028-jdvan              50.0c       3.0       0    9.85  already at the touch (1) — skip
enwc-uspres-nom-rep-2028-margre              3.0c       3.0       0   13.60  already at the touch (1) — skip
enwc-uspres-nom-rep-2028-marrub             50.0c      51.0       0    2.92  already at the touch (50) — skip
enwc-uspres-nom-rep-2028-ranpau              7.0c       3.0       0   13.60  already at the touch (1) — skip
enwc-uspres-nom-rep-2028-rondes             23.0c      52.0       0    2.87  already at the touch (51) — skip
