market,side,price,size,ticks,share,est_day,pool,verdict
scc-hrep-rep-2026-11-03-gte220,SELL,0.14,20.0,0,1.0,4.166666666666667,100.0,"✅ scoring — ~100.0% of ask side (8,674 resting ≥ 5,000 ✓) ≈ $4.17/day (pool ÷ 12 markets)"
scc-hrep-rep-2026-11-03-gte205,BUY,0.61,40.0,0,1.0,4.166666666666667,100.0,"✅ scoring — ~100.0% of bid side (5,490 resting ≥ 5,000 ✓) ≈ $4.17/day (pool ÷ 12 markets)"
scc-hrep-rep-2026-11-03-gte190,BUY,0.8,50.0,0,1.0,4.166666666666667,100.0,"✅ scoring — ~100.0% of bid side (5,500 resting ≥ 5,000 ✓) ≈ $4.17/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-lte45,SELL,0.07,70.0,0,1.0,3.8461538461538463,100.0,"✅ scoring — ~100.0% of ask side (11,930 resting ≥ 5,000 ✓) ≈ $3.85/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-gte57,SELL,0.15,100.0,0,1.0,3.8461538461538463,100.0,"✅ scoring — ~100.0% of ask side (12,057 resting ≥ 5,000 ✓) ≈ $3.85/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte180,BUY,0.85,60.0,0,1.0,4.166666666666667,100.0,"✅ scoring — ~100.0% of bid side (5,510 resting ≥ 5,000 ✓) ≈ $4.17/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-49,BUY,0.22,44.0,0,0.9999999999991463,3.846153846150563,100.0,"✅ scoring — ~100.0% of bid side (5,473 resting ≥ 5,000 ✓) ≈ $3.85/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-50,SELL,0.42,50.0,0,0.9999948798296082,3.846134153190801,100.0,"✅ scoring — ~100.0% of ask side (11,970 resting ≥ 5,000 ✓) ≈ $3.85/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte230,SELL,0.08,100.0,0,0.9996001599360256,4.165000666400107,100.0,"✅ scoring — ~100.0% of ask side (8,512 resting ≥ 5,000 ✓) ≈ $4.17/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-54,SELL,0.09,50.0,0,0.9960151438872352,3.8308274764893664,100.0,"✅ scoring — ~99.6% of ask side (11,992 resting ≥ 5,000 ✓) ≈ $3.83/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-47,SELL,0.1,40.0,0,0.975609756097561,3.75234521575985,100.0,"✅ scoring — ~97.6% of ask side (11,901 resting ≥ 5,000 ✓) ≈ $3.75/day (pool ÷ 13 markets)"
vmc-ussep-misen-2026-08-04-els5-10,SELL,0.15,9.0,0,0.8954321169196119,1.1192901461495148,25.0,"✅ scoring — ~89.5% of ask side (152,920 resting ≥ 2,000 ✓) ≈ $1.12/day (pool ÷ 10 markets)"
scc-senate-gop-2026-11-03-49,SELL,0.25,40.0,0,0.8510638297617197,3.27332242216046,100.0,"✅ scoring — ~85.1% of ask side (11,963 resting ≥ 5,000 ✓) ≈ $3.27/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-50,BUY,0.38,42.0,0,0.8495860493115925,3.2676386511984328,100.0,"✅ scoring — ~85.0% of bid side (5,533 resting ≥ 5,000 ✓) ≈ $3.27/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-56,SELL,0.07,50.0,0,0.8333333333333334,3.2051282051282053,100.0,"✅ scoring — ~83.3% of ask side (11,940 resting ≥ 5,000 ✓) ≈ $3.21/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte235,SELL,0.09,50.0,0,0.8305647840531561,3.460686600221484,100.0,"✅ scoring — ~83.1% of ask side (7,656 resting ≥ 5,000 ✓) ≈ $3.46/day (pool ÷ 12 markets)"
scc-hrep-rep-2026-11-03-gte185,BUY,0.89,50.0,0,0.819672131147541,3.415300546448088,100.0,"✅ scoring — ~82.0% of bid side (5,511 resting ≥ 5,000 ✓) ≈ $3.42/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-46,SELL,0.1,46.0,0,0.8070174713696587,3.1039133514217645,100.0,"✅ scoring — ~80.7% of ask side (12,001 resting ≥ 5,000 ✓) ≈ $3.10/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-48,BUY,0.07,85.0,0,0.8069489507005455,3.1036498103867136,100.0,"✅ scoring — ~80.7% of bid side (5,312 resting ≥ 5,000 ✓) ≈ $3.10/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-53,SELL,0.1,50.0,0,0.8063215610385422,3.1012367732251627,100.0,"✅ scoring — ~80.6% of ask side (12,040 resting ≥ 5,000 ✓) ≈ $3.10/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte210,SELL,0.45,13.0,0,0.7222217086423405,3.0092571193430855,100.0,"✅ scoring — ~72.2% of ask side (8,541 resting ≥ 5,000 ✓) ≈ $3.01/day (pool ÷ 12 markets)"
vmc-ussep-misen-2026-08-04-els10-15,SELL,0.37,20.0,0,0.6666664898932056,0.8333331123665071,25.0,"✅ scoring — ~66.7% of ask side (152,929 resting ≥ 2,000 ✓) ≈ $0.83/day (pool ÷ 10 markets)"
scc-senate-gop-2026-11-03-48,SELL,0.17,30.0,0,0.6629775648392059,2.5499137109200225,100.0,"✅ scoring — ~66.3% of ask side (11,969 resting ≥ 5,000 ✓) ≈ $2.55/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte225,SELL,0.2,25.0,0,0.6578947368421053,2.741228070175439,100.0,"✅ scoring — ~65.8% of ask side (6,398 resting ≥ 5,000 ✓) ≈ $2.74/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-51,SELL,0.21,42.0,0,0.6547155105222136,2.518136578931591,100.0,"✅ scoring — ~65.5% of ask side (11,961 resting ≥ 5,000 ✓) ≈ $2.52/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte200,BUY,0.85,50.0,0,0.6493506493506493,2.705627705627706,100.0,"✅ scoring — ~64.9% of bid side (5,527 resting ≥ 5,000 ✓) ≈ $2.71/day (pool ÷ 12 markets)"
scc-hrep-rep-2026-11-03-gte215,SELL,0.18,10.0,0,0.5200965299159525,2.167068874649802,100.0,"✅ scoring — ~52.0% of ask side (8,614 resting ≥ 5,000 ✓) ≈ $2.17/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-55,SELL,0.06,50.0,0,0.49212479199247244,1.8927876615095094,100.0,"✅ scoring — ~49.2% of ask side (12,066 resting ≥ 5,000 ✓) ≈ $1.89/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-lte45,BUY,0.01,5000.0,1,0.42691256830601093,1.6419714165615806,100.0,"✅ scoring — ~42.7% of bid side (7,304 resting ≥ 5,000 ✓) ≈ $1.64/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte200,SELL,0.89,50.0,0,0.3912336214846786,1.6301400895194944,100.0,"✅ scoring — ~39.1% of ask side (8,753 resting ≥ 5,000 ✓) ≈ $1.63/day (pool ÷ 12 markets)"
vmc-ussep-misen-2026-08-04-els10-15,BUY,0.01,5000.0,0,0.3236455434008674,0.4045569292510842,25.0,"✅ scoring — ~32.4% of bid side (15,449 resting ≥ 2,000 ✓) ≈ $0.40/day (pool ÷ 10 markets)"
scc-senate-gop-2026-11-03-gte57,BUY,0.08,45.92,0,0.2609289959012641,1.0035730611587081,100.0,"✅ scoring — ~26.1% of bid side (5,377 resting ≥ 5,000 ✓) ≈ $1.00/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-52,SELL,0.22,10.0,0,0.2512562814067042,0.9663703131027085,100.0,"✅ scoring — ~25.1% of ask side (11,181 resting ≥ 5,000 ✓) ≈ $0.97/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte205,SELL,0.62,20.0,0,0.22988505747126436,0.9578544061302683,100.0,"✅ scoring — ~23.0% of ask side (8,632 resting ≥ 5,000 ✓) ≈ $0.96/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-48,BUY,0.07,20.0,0,0.18987034134130484,0.7302705436204032,100.0,"✅ scoring — ~19.0% of bid side (5,312 resting ≥ 5,000 ✓) ≈ $0.73/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte225,BUY,0.01,5000.0,1,0.18382352941176472,0.7659313725490197,100.0,"✅ scoring — ~18.4% of bid side (25,600 resting ≥ 5,000 ✓) ≈ $0.77/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-54,BUY,0.06,50.0,0,0.16831988210606144,0.6473841619463901,100.0,"✅ scoring — ~16.8% of bid side (25,456 resting ≥ 5,000 ✓) ≈ $0.65/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte210,BUY,0.41,50.0,0,0.16688918558077434,0.6953716065865598,100.0,"✅ scoring — ~16.7% of bid side (5,500 resting ≥ 5,000 ✓) ≈ $0.70/day (pool ÷ 12 markets)"
scc-hrep-rep-2026-11-03-gte235,SELL,0.1,50.0,1,0.16611295681063123,0.6921373200442968,100.0,"✅ scoring — ~16.6% of ask side (7,656 resting ≥ 5,000 ✓) ≈ $0.69/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-51,BUY,0.2,50.0,0,0.15710919088753234,0.6042661187982014,100.0,"✅ scoring — ~15.7% of bid side (5,518 resting ≥ 5,000 ✓) ≈ $0.60/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-52,BUY,0.18,9.0,0,0.15429453096790224,0.593440503722701,100.0,"✅ scoring — ~15.4% of bid side (5,352 resting ≥ 5,000 ✓) ≈ $0.59/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-49,SELL,0.25,7.0,0,0.14893617020830097,0.5728314238780806,100.0,"✅ scoring — ~14.9% of ask side (11,963 resting ≥ 5,000 ✓) ≈ $0.57/day (pool ÷ 13 markets)"
scc-senate-gop-2026-11-03-47,BUY,0.08,80.0,0,0.14785610889514889,0.5686773419044188,100.0,"✅ scoring — ~14.8% of bid side (5,743 resting ≥ 5,000 ✓) ≈ $0.57/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte230,BUY,0.01,5000.0,1,0.13308490817141336,0.5545204507142224,100.0,"✅ scoring — ~13.3% of bid side (27,674 resting ≥ 5,000 ✓) ≈ $0.55/day (pool ÷ 12 markets)"
mlaec-swepm-2026-09-13-magand,BUY,0.68,3.0,0,0.1048951048951049,0.26223776223776224,25.0,"✅ scoring — ~10.5% of bid side (6,453 resting ≥ 2,000 ✓) ≈ $0.26/day (pool ÷ 5 markets)"
scc-senate-gop-2026-11-03-56,BUY,0.01,5000.0,2,0.08614748449345279,0.3313364788209723,100.0,"✅ scoring — ~8.6% of bid side (26,504 resting ≥ 5,000 ✓) ≈ $0.33/day (pool ÷ 13 markets)"
scc-hrep-rep-2026-11-03-gte220,BUY,0.09,10.0,0,0.07119771183084973,0.2966571326285406,100.0,"✅ scoring — ~7.1% of bid side (5,590 resting ≥ 5,000 ✓) ≈ $0.30/day (pool ÷ 12 markets)"
scc-hrep-rep-2026-11-03-gte230,BUY,0.02,250.0,0,0.03327122704285334,0.1386301126785556,100.0,"✅ scoring — ~3.3% of bid side (27,674 resting ≥ 5,000 ✓) ≈ $0.14/day (pool ÷ 12 markets)"
pvwc-housepopw-2026-11-03-rep,SELL,0.1,30.0,0,0.029585798816568046,0.1849112426035503,25.0,"✅ scoring — ~3.0% of ask side (6,087 resting ≥ 2,000 ✓) ≈ $0.18/day (pool ÷ 2 markets)"
scc-hrep-rep-2026-11-03-gte225,BUY,0.02,150.0,0,0.027573529411764705,0.11488970588235295,100.0,"✅ scoring — ~2.8% of bid side (25,600 resting ≥ 5,000 ✓) ≈ $0.11/day (pool ÷ 12 markets)"
scc-senate-gop-2026-11-03-56,BUY,0.03,49.0,0,0.02110613370089593,0.0811774373111382,100.0,"✅ scoring — ~2.1% of bid side (26,504 resting ≥ 5,000 ✓) ≈ $0.08/day (pool ÷ 13 markets)"
opdc-mcconnell-resign-2026-11-02,BUY,0.04,30.0,2,0.005815632808698637,0.07269541010873296,25.0,"✅ scoring — ~0.6% of bid side (5,573 resting ≥ 2,000 ✓) ≈ $0.07/day"
