day,market,family,est_day_usd,orders,recorded_at,paid_usd,paid_at,error_pct,share,pool_day,live_h,realized_share,levels
2026-08-25,enwc-uspres-nom-dem-2028-jamtal,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.145066,6.114284,10.452,,7
2026-08-25,enwc-uspres-nom-dem-2028-kamhar,politics,0.0044,1,2026-08-25T12:05:52Z,,,,0.016738,5.666440,8.692,,9
2026-08-25,enwc-uspres-nom-dem-2028-stasmi,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.049701,6.052203,10.065,,7
2026-08-25,enwc-uspres-nom-rep-2028-marrub,politics,5.0851,2,2026-08-25T12:05:52Z,,,,0.409388,8.217905,8.896,,3
2026-08-25,enwc-uspres-nom-rep-2028-rondes,politics,0.5380,1,2026-08-25T12:05:52Z,,,,0.286173,6.890047,8.335,,3
2026-08-25,ewc-usp-2028-11-07-dontru,politics,0.0582,1,2026-08-25T12:05:52Z,,,,0.039347,4.270535,10.060,,7
2026-08-25,ewc-usp-2028-11-07-gleyou,politics,0.1445,1,2026-08-25T12:05:52Z,,,,0.028686,4.340917,10.798,,8
2026-08-25,ewc-usp-2028-11-07-jamtal,politics,0.0213,1,2026-08-25T12:05:52Z,,,,0.003498,3.575988,8.922,,8
2026-08-25,ewc-usp-2028-11-07-jossha,politics,0.5921,1,2026-08-25T12:05:52Z,,,,0.161859,4.021594,8.682,,6
2026-08-25,ewc-usp-2028-11-07-micoba,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.001759,3.576455,8.923,,7
2026-08-25,enwc-uspres-nom-rep-2028-tuccar,politics,1.1905,1,2026-08-25T12:05:52Z,,,,0.051837,6.955643,9.143,,6
2026-08-25,ewc-usp-2028-11-07-petbut,politics,0.0005,1,2026-08-25T12:05:52Z,,,,0.337220,3.578425,7.999,,6
2026-08-25,ewc-usp-2028-11-07-rokha,politics,0.0041,1,2026-08-25T12:05:52Z,,,,0.002540,3.572108,8.707,,6
2026-08-25,ewc-usp-2028-11-07-vivram,politics,0.0107,1,2026-08-25T12:05:52Z,,,,0.007746,3.377706,3.059,,8
2026-08-25,ewc-usp-2028-11-07-wesmoo,politics,0.1325,1,2026-08-25T12:05:52Z,,,,0.013651,4.240460,10.249,,6
2026-08-25,ewc-usse-tx-2026-11-03-dem,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.209129,70.507250,0.657,,8
2026-08-25,usgubewc-usgub-me-2026-11-03-rep,politics,5.8868,2,2026-08-25T12:05:52Z,,,,0.706405,7.006188,10.300,,8
2026-08-25,usgubewc-usgub-nm-2026-11-03-dem,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.009841,6.976914,10.076,,6
2026-08-25,usgubewc-usgub-ri-2026-11-03-kenblo,politics,0.0011,1,2026-08-25T12:05:52Z,,,,0.315793,4.021524,8.514,,4
2026-08-25,ussewc-usse-de-2026-11-03-rep,politics,0.0217,1,2026-08-25T12:05:52Z,,,,0.029922,6.120992,8.722,,5
2026-08-25,ewc-usp-2028-11-07-kamhar,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.024006,3.584555,8.229,,7
2026-08-25,ussewc-usse-il-2026-11-03-rep,politics,1.0313,1,2026-08-25T12:05:52Z,,,,0.291606,6.988481,9.623,,5
2026-08-25,ussewc-usse-ma-2026-11-03-rep,politics,6.2499,1,2026-08-25T12:05:52Z,,,,0.691506,6.004854,9.029,,6
2026-08-25,ussewc-usse-tn-2026-11-03-dem,politics,0.1341,1,2026-08-25T12:05:52Z,,,,0.059634,5.978666,7.937,,6
2026-08-25,ussewc-usse-va-2026-11-03-rep,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.521749,5.972252,8.077,,7
2026-08-25,ussewc-usse-wy-2026-11-03-dem,politics,0.0017,1,2026-08-25T12:05:52Z,,,,0.176765,6.969851,10.327,,10
2026-08-25,ewc-usp-2028-11-07-jonoss,politics,1.7508,1,2026-08-25T12:05:52Z,,,,0.123164,3.565721,8.974,,8
2026-08-25,enwc-uspres-nom-dem-2028-rahema,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.011120,6.225565,10.412,,7
2026-08-25,enwc-uspres-nom-dem-2028-rokha,politics,0.8257,1,2026-08-25T12:05:52Z,,,,0.265635,6.193589,10.874,,9
2026-08-25,enwc-uspres-nom-dem-2028-wesmoo,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.029295,5.780613,8.165,,6
2026-08-25,enwc-uspres-nom-rep-2028-margre,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.001978,10.512634,4.489,,6
2026-08-25,enwc-uspres-nom-rep-2028-thomas,politics,0.8921,2,2026-08-25T12:05:52Z,,,,0.050935,6.893452,8.179,,14
2026-08-25,enwc-uspres-nom-rep-2028-tulgab,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.045574,6.521742,0.626,,6
2026-08-25,ewc-usp-2028-11-07-aleocc,politics,0.2747,2,2026-08-25T12:05:52Z,,,,0.180014,5.122221,5.752,,7
2026-08-25,ewc-usp-2028-11-07-dwajoh,politics,0.0090,1,2026-08-25T12:05:52Z,,,,0.042996,4.336515,11.179,,8
2026-08-25,ewc-usp-2028-11-07-gavnew,politics,0.0001,1,2026-08-25T12:05:52Z,,,,0.048364,4.341709,10.705,,7
2026-08-25,ewc-usp-2028-11-07-jbpri,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.057067,3.980746,9.943,,8
2026-08-25,ewc-usp-2028-11-07-markel,politics,0.0049,2,2026-08-25T12:05:52Z,,,,0.008479,4.131449,9.322,,7
2026-08-25,ewc-usp-2028-11-07-rahema,politics,0.0015,1,2026-08-25T12:05:52Z,,,,0.000279,3.571052,9.337,,9
2026-08-25,ewc-usp-2028-11-07-tulgab,politics,0.1035,1,2026-08-25T12:05:52Z,,,,0.047656,4.261439,10.305,,11
2026-08-25,scc-senate-gop-2026-11-03-51,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.357650,3.731025,8.089,,9
2026-08-25,usgubewc-usgub-ct-2026-11-03-dem,politics,2.4038,1,2026-08-25T12:05:52Z,,,,0.081689,5.987187,8.592,,4
2026-08-25,usgubewc-usgub-nm-2026-11-03-rep,politics,0.6291,2,2026-08-25T12:05:52Z,,,,0.201489,6.003035,8.807,,3
2026-08-25,usgubewc-usgub-vt-2026-11-03-dem,politics,0.0024,1,2026-08-25T12:05:52Z,,,,0.013650,6.668072,9.460,,5
2026-08-25,ussewc-usse-ms-2026-11-03-dem,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.181841,6.021576,8.803,,5
2026-08-25,ussewc-usse-tn-2026-11-03-rep,politics,5.9438,1,2026-08-25T12:05:52Z,,,,0.452673,7.076183,8.473,,5
2026-08-25,enwc-usgubp-ri-2026-09-09-dem-danmck,politics,0.0023,1,2026-08-25T12:05:52Z,,,,0.207298,4.410015,10.647,,7
2026-08-25,ussewc-usse-ma-2026-11-03-dem,politics,1.1082,1,2026-08-25T12:05:52Z,,,,0.152887,6.247571,7.982,,4
2026-08-25,usgubewc-usgub-ri-2026-11-03-rep,politics,0.3626,1,2026-08-25T12:05:52Z,,,,0.049364,4.055888,8.989,,5
2026-08-25,scc-hrep-rep-2026-11-03-gte205,politics,2.9472,1,2026-08-25T12:05:52Z,,,,0.436085,4.713396,9.708,,6
2026-08-25,enwc-ussep-de-2026-09-15-rep-mickat,politics,0.9513,1,2026-08-25T12:05:52Z,,,,0.441646,7.083010,10.485,,10
2026-08-25,vmc-ussep-mov-ma-dem-2026-09-01-mou0-5,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.071770,1.210057,8.340,,4
2026-08-25,usgubewc-usgub-vt-2026-11-03-rep,politics,1.0052,1,2026-08-25T12:05:52Z,,,,0.205992,6.016579,8.614,,7
2026-08-25,ussewc-usse-ks-2026-11-03-rep,politics,0.0788,2,2026-08-25T12:05:52Z,,,,0.088293,6.123627,8.928,,5
2026-08-25,ussewc-usse-nj-2026-11-03-dem,politics,2.7778,1,2026-08-25T12:05:52Z,,,,0.294487,6.172132,9.880,,4
2026-08-25,ussewc-usse-or-2026-11-03-rep,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.205499,6.028347,7.704,,6
2026-08-25,ussewc-usse-ks-2026-11-03-dem,politics,0.5722,1,2026-08-25T12:05:52Z,,,,0.189726,6.021018,9.847,,9
2026-08-25,ussewc-usse-la-2026-11-03-dem,politics,3.7487,1,2026-08-25T12:05:52Z,,,,0.417838,7.025431,10.248,,4
2026-08-25,usgubewc-usgub-sc-2026-11-03-dem,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.080464,6.208752,7.857,,9
2026-08-25,ussewc-usse-la-2026-11-03-rep,politics,0.0891,1,2026-08-25T12:05:52Z,,,,0.387669,5.984213,9.060,,6
2026-08-25,scc-hrep-rep-2026-11-03-gte190,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.180110,4.890486,8.098,,5
2026-08-25,enwc-usgubp-ri-2026-09-09-dem-helfou,politics,0.0937,2,2026-08-25T12:05:52Z,,,,0.456343,4.367472,10.178,,4
2026-08-25,ussewc-usse-ar-2026-11-03-rep,politics,4.4309,2,2026-08-25T12:05:52Z,,,,0.366511,6.049486,8.449,,4
2026-08-25,enwc-uspres-nom-dem-2028-petbut,politics,2.3662,1,2026-08-25T12:05:52Z,,,,0.341753,5.659365,7.535,,11
2026-08-25,ussewc-usse-ky-2026-11-03-rep,politics,3.1031,2,2026-08-25T12:05:52Z,,,,0.484197,5.952813,6.063,,8
2026-08-25,usgubewc-usgub-nh-2026-11-03-rep,politics,0.0000,1,2026-08-25T12:05:52Z,,,,0.341385,5.977105,6.207,,8
2026-08-25,usgubewc-usgub-tn-2026-11-03-rep,politics,4.9603,1,2026-08-25T12:05:52Z,,,,0.756094,6.136791,6.960,,4
