119 markets hold orders

funded right now : 119
no active program: 0

MARKETS WITH NO ACTIVE PROGRAM (capital that cannot earn)
  market                                         orders   capital
  TOTAL                                               0      0.00

FUNDED, with pool and target
  market                                         orders   capital     pool   target
  tec-cbb-champ-2027-04-05-w-butl                     1      1.78      500    2,500
  tec-cbb-champ-2027-04-05-w-iowast                   1      4.50      500    2,500
  tec-cbb-champ-2027-04-05-w-nebr                     1      2.73      500    2,500
  apdc-alito-2026-12-31                               3    141.40      100    5,000
  apdc-jerpowgov-2026-12-31                          15     81.76      100    5,000
  scc-hrep-rep-2026-11-03-gte180                      1     14.00      100    5,000
  scc-hrep-rep-2026-11-03-gte185                      4     20.85      100    5,000
  scc-hrep-rep-2026-11-03-gte190                      1      7.10      100    5,000
  scc-hrep-rep-2026-11-03-gte195                      6    120.75      100    5,000
  scc-hrep-rep-2026-11-03-gte200                      2     13.70      100    5,000
  scc-hrep-rep-2026-11-03-gte205                      3     28.80      100    5,000
  scc-hrep-rep-2026-11-03-gte210                      2     12.77      100    5,000
  scc-hrep-rep-2026-11-03-gte215                      2     38.40      100    5,000
  scc-hrep-rep-2026-11-03-gte220                      2      6.87      100    5,000
  scc-hrep-rep-2026-11-03-gte225                      1     17.60      100    5,000
  scc-hrep-rep-2026-11-03-gte230                      2     38.40      100    5,000
  scc-senate-gop-2026-11-03-46                        2     34.20      100    5,000
  scc-senate-gop-2026-11-03-47                        1      2.86      100    5,000
  scc-senate-gop-2026-11-03-48                        2     26.10      100    5,000
  scc-senate-gop-2026-11-03-49                        2     18.00      100    5,000
  scc-senate-gop-2026-11-03-50                        5     33.09      100    5,000
  scc-senate-gop-2026-11-03-51                        2     41.58      100    5,000
  scc-senate-gop-2026-11-03-52                        2      1.61      100    5,000
  scc-senate-gop-2026-11-03-53                        2     36.00      100    5,000
  scc-senate-gop-2026-11-03-54                        1     27.60      100    5,000
  scc-senate-gop-2026-11-03-55                        1     47.00      100    5,000
  scc-senate-gop-2026-11-03-56                        1     28.50      100    5,000
  scc-senate-gop-2026-11-03-gte57                     2     54.00      100    5,000
  scc-senate-gop-2026-11-03-lte45                     2     76.50      100    5,000
  pandc-anydis-2027-12-31                             3    118.40       50   10,000
  enwc-ushrp-fl25-2026-08-18-dem-jarmos               3     26.06       25    2,000
  enwc-ushrp-fl25-2026-08-18-dem-olilar               4     26.47       25    2,000
  lawec-cryptoleg-2026-12-31                          2     35.10       25    2,000
  opdc-mcconnell-resign-2026-11-02                    3     46.40       25    2,000
  pic-congress-trump-2026-12-31                       1      0.31       25    2,000
  pvwc-housepopw-2026-11-03-dem                       1      8.10       25    2,000
  pvwc-housepopw-2026-11-03-rep                       2     51.60       25    2,000
  usgubewc-usgub-ar-2026-11-03-dem                    3     47.87       25    2,000
  usgubewc-usgub-ar-2026-11-03-rep                    5     45.62       25    2,000
  usgubewc-usgub-co-2026-11-03-dem                    3     41.39       25    2,000
  usgubewc-usgub-co-2026-11-03-rep                    2     50.22       25    2,000
  usgubewc-usgub-ct-2026-11-03-dem                    7     62.75       25    2,000
  usgubewc-usgub-ct-2026-11-03-rep                    2     36.40       25    2,000
  usgubewc-usgub-hi-2026-11-03-dem                    9     49.32       25    2,000
  usgubewc-usgub-hi-2026-11-03-rep                    2     58.40       25    2,000
  usgubewc-usgub-id-2026-11-03-dem                    2     58.00       25    2,000
  usgubewc-usgub-id-2026-11-03-rep                    9     59.49       25    2,000
  usgubewc-usgub-il-2026-11-03-dem                    7     46.85       25    2,000
  usgubewc-usgub-il-2026-11-03-rep                    2     40.05       25    2,000
  usgubewc-usgub-ma-2026-11-03-dem                    7     59.68       25    2,000
  usgubewc-usgub-ma-2026-11-03-rep                    3     54.40       25    2,000
  usgubewc-usgub-md-2026-11-03-dem                    1     38.00       25    2,000
  usgubewc-usgub-md-2026-11-03-rep                    3     50.62       25    2,000
  usgubewc-usgub-me-2026-11-03-dem                    1     37.60       25    2,000
  usgubewc-usgub-me-2026-11-03-rep                    1     36.00       25    2,000
  usgubewc-usgub-mn-2026-11-03-dem                    1     38.00       25    2,000
  usgubewc-usgub-mn-2026-11-03-rep                    2     36.00       25    2,000
  usgubewc-usgub-ne-2026-11-03-dem                    2     42.73       25    2,000
  usgubewc-usgub-ne-2026-11-03-rep                    4     42.53       25    2,000
  usgubewc-usgub-nh-2026-11-03-dem                    8     62.99       25    2,000
  usgubewc-usgub-nh-2026-11-03-rep                    6     55.13       25    2,000
  usgubewc-usgub-nm-2026-11-03-dem                    3     40.36       25    2,000
  usgubewc-usgub-nm-2026-11-03-rep                    2     45.31       25    2,000
  usgubewc-usgub-ny-2026-11-03-dem                    4     40.94       25    2,000
  usgubewc-usgub-ny-2026-11-03-rep                    3     40.72       25    2,000
  usgubewc-usgub-ok-2026-11-03-dem                    2     41.95       25    2,000
  usgubewc-usgub-ok-2026-11-03-rep                    1     37.60       25    2,000
  usgubewc-usgub-pa-2026-11-03-dem                    3     53.95       25    2,000
  usgubewc-usgub-pa-2026-11-03-rep                    7     44.25       25    2,000
  usgubewc-usgub-ri-2026-11-03-dem                    5     44.12       25    2,000
  usgubewc-usgub-ri-2026-11-03-rep                    7     54.45       25    2,000
  usgubewc-usgub-sc-2026-11-03-dem                    1     36.80       25    2,000
  usgubewc-usgub-sc-2026-11-03-rep                    1     36.80       25    2,000
  usgubewc-usgub-sd-2026-11-03-dem                   11     65.45       25    2,000
  usgubewc-usgub-sd-2026-11-03-rep                   14     60.12       25    2,000
  usgubewc-usgub-vt-2026-11-03-dem                    2     35.60       25    2,000
  usgubewc-usgub-vt-2026-11-03-rep                    2     49.90       25    2,000
  usgubewc-usgub-wy-2026-11-03-dem                    2     13.15       25    2,000
  usgubewc-usgub-wy-2026-11-03-rep                    6     55.73       25    2,000
  ussewc-usse-al-2026-11-03-dem                       2     40.00       25    2,000
  ussewc-usse-al-2026-11-03-rep                       2     25.40       25    2,000
  ussewc-usse-ar-2026-11-03-dem                       2     52.80       25    2,000
  ussewc-usse-ar-2026-11-03-rep                       2     26.60       25    2,000
  ussewc-usse-co-2026-11-03-dem                       2     38.63       25    2,000
  ussewc-usse-co-2026-11-03-rep                       2     57.00       25    2,000
  ussewc-usse-de-2026-11-03-dem                       3     41.92       25    2,000
  ussewc-usse-de-2026-11-03-rep                       1     37.60       25    2,000
  ussewc-usse-id-2026-11-03-rep                       2     60.80       25    2,000
  ussewc-usse-id-2026-11-03-todach                    2     48.50       25    2,000
  ussewc-usse-il-2026-11-03-dem                       3     39.86       25    2,000
  ussewc-usse-il-2026-11-03-rep                       3     49.20       25    2,000
  ussewc-usse-ky-2026-11-03-dem                       5     53.25       25    2,000
  ussewc-usse-ky-2026-11-03-rep                       2     38.00       25    2,000
