politics slugs from tags: 1194
usgubewc slugs visible: 60
all prefixes seen: {'paccc': 4, 'enwc': 46, 'ewc': 104, 'usgcc': 1, 'apdc': 25, 'stsc': 3, 'cranc': 33, 'lawec': 3, 'pic': 1, 'mowc': 1, 'mlaec': 15, 'dipcc': 6, 'pintc': 15, 'opdc': 9, 'pvwc': 2, 'vtc': 10, 'vmc': 10, 'gsc': 1, 'scc': 25, 'iarc': 11, 'ussewc': 49, 'usgubewc': 60, 'ushrewc': 750, 'vsc': 10}

incentives entries returned for governor slugs: 60

market                                         prog?   pool    df  target     status
usgubewc-usgub-ak-2026-11-03-adacru              yes     25  0.10    2000     active
usgubewc-usgub-ak-2026-11-03-berwil              yes     25  0.10    2000     active
usgubewc-usgub-ak-2026-11-03-bilwal              yes     25  0.10    2000     active
usgubewc-usgub-ak-2026-11-03-clibis              yes     25  0.10    2000     active
usgubewc-usgub-ak-2026-11-03-davbro              yes     25  0.10    2000     active
usgubewc-usgub-ak-2026-11-03-jonkre              yes     25  0.10    2000     active
usgubewc-usgub-ak-2026-11-03-tombeg              yes     25  0.10    2000     active
usgubewc-usgub-al-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-al-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-ar-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-ar-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-co-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-co-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-ct-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-ct-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-fl-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-fl-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-hi-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-hi-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-id-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-id-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-il-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-il-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-ma-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-ma-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-md-2026-11-03-dem                 yes     25  0.10    2000     active
usgubewc-usgub-md-2026-11-03-rep                 yes     25  0.10    2000     active
usgubewc-usgub-me-2026-11-03-dem                 yes     25  0.10    2000     active
