market                                   side     ours   others    total    tgt qual self off  $/day
enwc-usgubp-fl-2026-08-18-rep-byrdon     BUY         0  701,623  701,623 10,000    y   no   -   0.00
enwc-usgubp-fl-2026-08-18-rep-byrdon     SELL        0   73,630   73,630 10,000    y   no   -   0.00
enwc-usgubp-fl-2026-08-18-rep-jamfis     BUY         0   19,008   19,008 10,000    y   no   -   0.00
enwc-usgubp-fl-2026-08-18-rep-jamfis     SELL        0  707,186  707,186 10,000    y   no   -   0.00
enwc-usgubp-fl-2026-08-18-rep-jaycol     SELL        0  776,384  776,384 10,000    y   no   -   0.00
enwc-usgubp-ok-2026-06-16-rep-gendru     BUY         0   27,800   27,800  5,000    y   no   -   0.00
enwc-usgubp-ok-2026-06-16-rep-gendru     SELL        0   28,279   28,279  5,000    y   no   -   0.00
enwc-usgubp-ok-2026-06-16-rep-mikmaz     BUY         0   29,327   29,327  5,000    y   no   -   0.00
enwc-usgubp-ok-2026-06-16-rep-mikmaz     SELL        0   29,324   29,324  5,000    y   no   -   0.00
enwc-usgubp-wy-2026-08-18-rep-brebie     SELL        0       25       25  2,000   NO   no   -   0.00
enwc-usgubp-wy-2026-08-18-rep-eribar     BUY         0       18       18  2,000   NO   no   -   0.00
enwc-usgubp-wy-2026-08-18-rep-eribar     SELL        0       65       65  2,000   NO   no   -   0.00
enwc-usgubp-wy-2026-08-18-rep-megdeg     SELL        0       63       63  2,000   NO   no   -   0.00
enwc-ussep-fl-2026-08-18-dem-alevin      SELL        0       25       25  2,000   NO   no   -   0.00
enwc-ussep-fl-2026-08-18-dem-angnix      SELL        0       25       25  2,000   NO   no   -   0.00
enwc-ussep-ma-2026-09-01-dem-edmark      BUY         0      760      760  2,000   NO   no   -   0.00
enwc-ussep-ma-2026-09-01-dem-edmark      SELL        0   13,346   13,346  2,000    y   no   -   0.00
enwc-ussep-ma-2026-09-01-dem-setmou      BUY         0      900      900  2,000   NO   no   -   0.00
enwc-ussep-ma-2026-09-01-dem-setmou      SELL        0    3,443    3,443  2,000    y   no   -   0.00
enwc-ussep-nh-2026-09-01-rep-johsun      BUY         0   51,059   51,059  2,000    y   no   -   0.00
enwc-ussep-nh-2026-09-01-rep-johsun      SELL        0   71,933   71,933  2,000    y   no   -   0.00
enwc-ussep-nh-2026-09-01-rep-scobro      BUY         0      688      688  2,000   NO   no   -   0.00
enwc-ussep-nh-2026-09-01-rep-scobro      SELL        0   52,843   52,843  2,000    y   no   -   0.00
enwc-ussep-nh-2026-09-08-dem-chrpap      BUY         0   50,651   50,651  2,000    y   no   -   0.00
enwc-ussep-nh-2026-09-08-dem-chrpap      SELL        0   26,417   26,417  2,000    y   no   -   0.00
enwc-ussep-nh-2026-09-08-dem-karman      BUY         0      695      695  2,000   NO   no   -   0.00
enwc-ussep-nh-2026-09-08-dem-karman      SELL        0   94,019   94,019  2,000    y   no   -   0.00
enwc-ussep-sc-2026-08-11-rep-darnor      BUY         0   92,905   92,905  2,000    y   no   -   0.00
enwc-ussep-sc-2026-08-11-rep-darnor      SELL        0  710,941  710,941  2,000    y   no   -   0.00
enwc-ussep-sc-2026-08-11-rep-ralnor      BUY         0  564,438  564,438  2,000    y   no   -   0.00
enwc-ussep-sc-2026-08-11-rep-ralnor      SELL        0  331,543  331,543  2,000    y   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-adacru     SELL        0       26       26  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-berwil     BUY         0    2,550    2,550  2,000    y   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-berwil     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-bilwal     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-bruwal     SELL        0       27       27  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-clibis     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-davbro     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-despay     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-edndev     SELL        0       27       27  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-grebre     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-hankro     SELL        0       26       26  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-jesfai     SELL        0       25       25  2,000   NO   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-jonkre     BUY         0    2,400    2,400  2,000    y   no   -   0.00
erac-usgubp-ak-adv-2026-08-18-jonkre     SELL        0       25       25  2,000   NO   no   -   0.00
