2028 slate: 60 markets   (DRY RUN)
live Target Sizes seen: [20000.0]  (old was 10,000)

market                                     side   target      ours      add
enwc-uspres-nom-dem-2028-aleocc            BUY    20,000    19,793      207
enwc-uspres-nom-dem-2028-aleocc            SELL   20,000    12,270    7,731
enwc-uspres-nom-dem-2028-andbes            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-andbes            SELL   20,000    12,293    7,708
enwc-uspres-nom-dem-2028-dwajoh            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-dwajoh            SELL   20,000     9,995   10,005
enwc-uspres-nom-dem-2028-gavnew            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-gavnew            SELL   20,000    10,470    9,531
enwc-uspres-nom-dem-2028-jamtal            BUY    20,000    10,020    9,980
enwc-uspres-nom-dem-2028-jamtal            SELL   20,000    11,514    8,486
enwc-uspres-nom-dem-2028-jbpri             BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-jbpri             SELL   20,000    11,632    8,369
enwc-uspres-nom-dem-2028-jonoss            BUY    20,000    10,061    9,940
enwc-uspres-nom-dem-2028-jonoss            SELL   20,000    12,278    7,723
enwc-uspres-nom-dem-2028-jonste            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-jonste            SELL   20,000    11,344    8,657
enwc-uspres-nom-dem-2028-jossha            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-jossha            SELL   20,000    11,633    8,368
enwc-uspres-nom-dem-2028-kamhar            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-kamhar            SELL   20,000    12,294    7,707
enwc-uspres-nom-dem-2028-markel            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-markel            SELL   20,000    11,154    8,847
enwc-uspres-nom-dem-2028-micoba            BUY    20,000    10,002    9,998
enwc-uspres-nom-dem-2028-micoba            SELL   20,000    11,532    8,469
enwc-uspres-nom-dem-2028-petbut            BUY    20,000    10,013    9,987
enwc-uspres-nom-dem-2028-petbut            SELL   20,000    10,857    9,144
enwc-uspres-nom-dem-2028-rahema            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-rahema            SELL   20,000    10,392    9,608
enwc-uspres-nom-dem-2028-rokha             BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-rokha             SELL   20,000    11,807    8,194
enwc-uspres-nom-dem-2028-stasmi            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-stasmi            SELL   20,000     9,994   10,006
enwc-uspres-nom-dem-2028-wesmoo            BUY    20,000    10,000   10,001
enwc-uspres-nom-dem-2028-wesmoo            SELL   20,000    11,759    8,242
enwc-uspres-nom-rep-2028-dontru            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-dontru            SELL   20,000    11,589    8,411
enwc-uspres-nom-rep-2028-dontrujr          BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-dontrujr          SELL   20,000     9,996   10,005
enwc-uspres-nom-rep-2028-elomus            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-elomus            SELL   20,000    10,526    9,474
enwc-uspres-nom-rep-2028-gleyou            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-gleyou            SELL   20,000    10,227    9,774
enwc-uspres-nom-rep-2028-jdvan             BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-jdvan             SELL   20,000    11,411    8,589
enwc-uspres-nom-rep-2028-margre            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-margre            SELL   20,000    11,589    8,411
enwc-uspres-nom-rep-2028-marrub            BUY    20,000    10,500    9,501
enwc-uspres-nom-rep-2028-marrub            SELL   20,000     3,243   16,757
enwc-uspres-nom-rep-2028-ranpau            BUY    20,000    10,001    9,999
enwc-uspres-nom-rep-2028-ranpau            SELL   20,000    11,962    8,039
enwc-uspres-nom-rep-2028-rondes            BUY    20,000    10,001   10,000
enwc-uspres-nom-rep-2028-rondes            SELL   20,000    12,338    7,663
enwc-uspres-nom-rep-2028-tedcru            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-tedcru            SELL   20,000    10,387    9,613
enwc-uspres-nom-rep-2028-thomas            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-thomas            SELL   20,000     9,995   10,005
enwc-uspres-nom-rep-2028-tuccar            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-tuccar            SELL   20,000    11,760    8,241
enwc-uspres-nom-rep-2028-tulgab            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-tulgab            SELL   20,000    10,026    9,974
enwc-uspres-nom-rep-2028-vivram            BUY    20,000    10,000   10,001
enwc-uspres-nom-rep-2028-vivram            SELL   20,000     9,996   10,005
ewc-usp-2028-11-07-aleocc                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-aleocc                  SELL   20,000     9,995   10,006
ewc-usp-2028-11-07-andbes                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-andbes                  SELL   20,000    11,759    8,242
ewc-usp-2028-11-07-dontru                  BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-dontru                  SELL   20,000     9,994   10,006
ewc-usp-2028-11-07-dontrujr                BUY    20,000    10,000   10,001
ewc-usp-2028-11-07-dontrujr                SELL   20,000    11,589    8,411
ewc-usp-2028-11-07-dwajoh                  BUY    20,000    10,000   10,001
