state,abbr,winner_Dparty,winner_Rparty,name_D1,name_D2,name_D3,name_D4,name_R1,name_R2,name_R3,name_R4,winner_D1,winner_D2,winner_D3,winner_D4,winner_R1,winner_R2,winner_R3,winner_R4,rating
Alabama,AL,1.4375,98.5625,Doug Jones,,,,Tommy Tuberville,,,,1.4375,,,,98.562503,,,,3
Alaska,AK,38.505,61.495,Tom Begich,Jonathan Kreiss-Tomkins,,,Bernadette Wilson,David Bronson,,,22.3075,16.1975,,,41.517499,19.9775,,,1
Arizona,AZ,91.4675,8.5325,Katie Hobbs,,,,Andy Biggs,,,,91.4675,,,,8.5325,,,,-2
Arkansas,AR,0.1775,99.8225,Fredrick Love,,,,Sarah Huckabee Sanders,,,,0.1775,,,,99.822497,,,,3
California,CA,99.9375,0.0625,Xavier Becerra,,,,Steve Hilton,,,,99.937499,,,,0.0625,,,,-3
Colorado,CO,99.8225,0.1775,Phil Weiser,,,,Victor Marx,,,,99.822497,,,,0.1775,,,,-3
Connecticut,CT,99.715,0.285,Ned Lamont,,,,Ryan Fazio,,,,99.715,,,,0.285,,,,-3
Florida,FL,15.4175,84.5825,David Jolly,,,,Byron Donalds,,,,15.4175,,,,84.582502,,,,2
Georgia,GA,68.94,31.06,Keisha Bottoms,,,,Rick Jackson,,,,68.940002,,,,31.060001,,,,-1
Hawaii,HI,99.9925,0.0075,Joshua Green,,,,Gary Cordery,,,,99.992502,,,,0.0075,,,,-3
Idaho,ID,0.1125,99.8875,Terri Pickens,,,,Brad Little,,,,0.1125,,,,99.887502,,,,3
Illinois,IL,99.8675,0.1325,J.B. Pritzker,,,,Darren Bailey,,,,99.867499,,,,0.1325,,,,-3
Iowa,IA,83.6775,16.3225,Rob Sand,,,,Zach Lahn,,,,83.6775,,,,16.3225,,,,-2
Kansas,KS,47.04,52.96,Cindy Holscher,,,,Ty Masterson,,,,47.040001,,,,52.960002,,,,0
Maine,ME,98.745,1.255,Hannah Pingree,,,,Bobby Charles,,,,98.745,,,,1.255,,,,-3
Maryland,MD,99.9775,0.0225,Wes Moore,,,,Dan Cox,,,,99.977499,,,,0.0225,,,,-3
Massachusetts,MA,99.945,0.055,Maura Healey,,,,Michael Minogue,,,,99.945003,,,,0.055,,,,-3
Michigan,MI,92.4075,7.5925,Jocelyn Benson,,,,John James,,,,92.407501,,,,7.5925,,,,-2
Minnesota,MN,99.3725,0.6275,Amy Klobuchar,,,,Lisa Demuth,,,,99.3725,,,,0.6275,,,,-3
Nebraska,NE,3.9575,96.0425,Lynne Walz,,,,Jim Pillen,,,,3.9575,,,,96.042502,,,,3
Nevada,NV,28.0325,71.9675,Aaron Ford,,,,Joe Lombardo,,,,28.0325,,,,71.9675,,,,1
New Hampshire,NH,7.7875,92.2125,Cinde Warmington,,,,Kelly Ayotte,,,,7.7875,,,,92.212498,,,,2
New Mexico,NM,98.905,1.095,Debra Haaland,,,,Gregg Hull,,,,98.905003,,,,1.095,,,,-3
New York,NY,98.4675,1.5325,Kathy Hochul,,,,Bruce Blakeman,,,,98.467499,,,,1.5325,,,,-3
Ohio,OH,49.66,50.34,Amy Acton,,,,Vivek Ramaswamy,,,,49.66,,,,50.339997,,,,0
Oklahoma,OK,5.9625,94.0375,Cyndi Munson,,,,Mike Mazzei,,,,5.9625,,,,94.037497,,,,2
Oregon,OR,92.11,7.89,Tina Kotek,,,,Christine Drazan,,,,92.110002,,,,7.89,,,,-2
Pennsylvania,PA,99.7975,0.2025,Josh Shapiro,,,,Stacy Garrity,,,,99.797499,,,,0.2025,,,,-3
Rhode Island,RI,99.1875,0.8075,Helena Foulkes,,,,Aaron Guckian,,,,99.187499,,,,0.8075,,,,-3
South Carolina,SC,2.3375,97.6625,Jermaine Johnson,,,,Alan Wilson,,,,2.3375,,,,97.662503,,,,3
South Dakota,SD,0.49,99.51,Dan Ahlers,,,,Larry Rhoden,,,,0.49,,,,99.510002,,,,3
Tennessee,TN,0.2025,99.7975,Jerri Green,,,,Marsha Blackburn,,,,0.2025,,,,99.797499,,,,3
Texas,TX,14.0425,85.9575,Gina Hinojosa,,,,Greg Abbott,,,,14.0425,,,,85.957503,,,,2
Vermont,VT,9.3725,90.6275,Amanda Janoo,,,,Phil Scott,,,,9.3725,,,,90.627497,,,,2
Wisconsin,WI,70.5775,29.4225,David Crowley,,,,Tom Tiffany,,,,70.577502,,,,29.422501,,,,-1
Wyoming,WY,0.0075,99.9925,Ken Casner,,,,Eric Barlow,,,,0.0075,,,,99.992502,,,,3
