open orders: 4639

market                                   side    px     qty   leaves     cum
ussewc-usse-il-2026-11-03-dem            SELL    99     222   222.43    0.00
ussewc-usse-il-2026-11-03-dem            SELL    99     222   222.43    0.00
ussewc-usse-il-2026-11-03-dem            SELL    99     222   222.43    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99      81    81.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99     132   132.00    0.00
usgubewc-usgub-wy-2026-11-03-dem         SELL    99      79    79.00    0.00
usgubewc-usgub-ar-2026-11-03-rep         SELL    99     159   159.00    0.00
usgubewc-usgub-ar-2026-11-03-rep         SELL    99     210   210.41    0.00
ussewc-usse-ri-2026-11-03-dem            SELL    99     120   120.28    0.00
ussewc-usse-co-2026-11-03-dem            SELL    99     103   102.78    0.00
ussewc-usse-co-2026-11-03-dem            SELL    99     120   120.28    0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL    99     120   120.27    0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL    99     194   193.91    0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL    99     131   131.00    0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL    99     134   134.22    0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL    99     140   140.35    0.00
usgubewc-usgub-pa-2026-11-03-rep         SELL    99     134   134.26    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     156   156.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     156   156.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99      98    98.00    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
usgubewc-usgub-ri-2026-11-03-dem         SELL    99     148   148.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     197   197.32    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     190   190.00    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     197   197.36    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     222   222.43    0.00
ussewc-usse-wv-2026-11-03-rep            SELL    99     207   206.55    0.00
usgubewc-usgub-sd-2026-11-03-rep         SELL    99     207   166.54   40.00
usgubewc-usgub-sd-2026-11-03-rep         SELL    99     156   156.07    0.00
usgubewc-usgub-sd-2026-11-03-rep         SELL    99     192   191.60    0.00
usgubewc-usgub-sd-2026-11-03-rep         SELL    99     165   165.18    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
ussewc-usse-wy-2026-11-03-rep            SELL    99     143   142.77    0.00
usgubewc-usgub-tn-2026-11-03-rep         SELL    99     137   137.29    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     166   166.29    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     112   111.97    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     153   152.78    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     149   149.07    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99      56    56.00    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     191   191.32    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     273   272.92    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     112   111.97    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99      99    98.78    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99      30    30.00    0.00
usgubewc-usgub-sd-2026-11-03-dem         SELL    99     218   217.91    0.00
usgubewc-usgub-pa-2026-11-03-dem         SELL    99     134   134.26    0.00
usgubewc-usgub-wy-2026-11-03-rep         SELL    99     197   197.32    0.00
usgubewc-usgub-wy-2026-11-03-rep         SELL    99     222   222.43    0.00
usgubewc-usgub-wy-2026-11-03-rep         SELL    99     222   222.43    0.00
usgubewc-usgub-wy-2026-11-03-rep         SELL    99     222   222.43    0.00
usgubewc-usgub-wy-2026-11-03-rep         SELL    99     197   197.36    0.00
