market,kind,side,touch_px,touch_size,near_size,total_size,target,qualifies,share_pct,est_day_usd,risk_usd,share_per_dollar,note
tec-wnba-champion-2026-10-31-w-min,tec-wnba-champion,BUY,0.46,1260.0,12301.31,16498.82,5000.0,1,0.0098,0.0008,0.46,0.0002,
tec-wnba-champion-2026-10-31-w-min,tec-wnba-champion,SELL,0.47,6621.73,7086.06,16122.06,5000.0,1,0.0151,0.0013,0.47,0.0003,
tec-wnba-champion-2026-10-31-w-gsv,tec-wnba-champion,BUY,0.11,31859.81,37059.81,67491.81,5000.0,1,0.0031,0.0003,0.11,0.0003,
tec-wnba-champion-2026-10-31-w-gsv,tec-wnba-champion,SELL,0.13,9771.31,9771.31,43164.97,5000.0,1,0.0102,0.0009,0.13,0.0008,
tec-wnba-champion-2026-10-31-w-ind,tec-wnba-champion,BUY,0.12,1247.39,18615.2,48982.11,5000.0,1,0.0064,0.0005,0.12,0.0005,
tec-wnba-champion-2026-10-31-w-ind,tec-wnba-champion,SELL,0.13,1263.87,1263.87,35066.87,5000.0,1,0.054,0.0045,0.13,0.0042,
tec-wnba-champion-2026-10-31-w-lv,tec-wnba-champion,BUY,0.12,19620.53,24620.53,52287.53,5000.0,1,0.0051,0.0004,0.12,0.0004,
tec-wnba-champion-2026-10-31-w-lv,tec-wnba-champion,SELL,0.13,4007.39,11892.73,48449.65,5000.0,1,0.0154,0.0013,0.13,0.0012,
tec-wnba-champion-2026-10-31-w-atl,tec-wnba-champion,BUY,0.09,24853.05,24853.05,54007.57,5000.0,1,0.004,0.0003,0.09,0.0004,
tec-wnba-champion-2026-10-31-w-atl,tec-wnba-champion,SELL,0.1,88.0,7143.66,41866.66,5000.0,1,0.0189,0.0016,0.1,0.0019,
tec-wnba-champion-2026-10-31-w-ny,tec-wnba-champion,BUY,0.06,27540.33,28995.16,56689.16,5000.0,1,0.0036,0.0003,0.06,0.0006,
tec-wnba-champion-2026-10-31-w-ny,tec-wnba-champion,SELL,0.07,11206.5,18077.05,54004.05,5000.0,1,0.0089,0.0007,0.07,0.0013,
tec-wnba-champion-2026-10-31-w-wsh,tec-wnba-champion,BUY,0.01,175887.0,175887.0,175887.0,5000.0,1,0.0006,0.0,0.01,0.0006,
tec-wnba-champion-2026-10-31-w-wsh,tec-wnba-champion,SELL,0.03,2267.29,2722.61,36200.61,5000.0,1,0.0318,0.0027,0.03,0.0106,
tec-wnba-champion-2026-10-31-w-dal,tec-wnba-champion,BUY,0.01,617213.66,617213.66,617213.66,5000.0,1,0.0002,0.0,0.01,0.0002,
tec-wnba-champion-2026-10-31-w-dal,tec-wnba-champion,SELL,0.02,12050.94,13303.62,48199.42,5000.0,1,0.0083,0.0007,0.02,0.0041,
tec-wnba-champion-2026-10-31-w-chi,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-chi,tec-wnba-champion,SELL,0.01,95257.01,95684.01,131930.01,5000.0,1,0.001,0.0001,0.01,0.001,
tec-wnba-champion-2026-10-31-w-conn,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-conn,tec-wnba-champion,SELL,0.01,91074.0,91249.66,127857.66,5000.0,1,0.0011,0.0001,0.01,0.0011,
tec-wnba-champion-2026-10-31-w-la,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-la,tec-wnba-champion,SELL,0.01,41799.03,47354.03,83924.03,5000.0,1,0.0024,0.0002,0.01,0.0024,
tec-wnba-champion-2026-10-31-w-phx,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-phx,tec-wnba-champion,SELL,0.01,90631.0,90631.0,127407.01,5000.0,1,0.0011,0.0001,0.01,0.0011,
tec-wnba-champion-2026-10-31-w-por,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-por,tec-wnba-champion,SELL,0.01,92332.0,92507.66,129118.66,5000.0,1,0.0011,0.0001,0.01,0.0011,
tec-wnba-champion-2026-10-31-w-sea,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-sea,tec-wnba-champion,SELL,0.01,101673.0,101673.0,138364.75,5000.0,1,0.001,0.0001,0.01,0.001,
tec-wnba-champion-2026-10-31-w-tor,tec-wnba-champion,BUY,,0.0,0.0,0.0,5000.0,0,0.0,0.0,0.0,0.0,side is empty
tec-wnba-champion-2026-10-31-w-tor,tec-wnba-champion,SELL,0.01,90791.0,90791.0,127552.31,5000.0,1,0.0011,0.0001,0.01,0.0011,
tec-wnba-mvp-2026-10-15-w-ajawil,tec-wnba-mvp,BUY,0.9,1146.0,6493.47,40515.47,5000.0,1,0.0183,0.0057,0.9,0.0002,
tec-wnba-mvp-2026-10-15-w-ajawil,tec-wnba-mvp,SELL,0.91,167.0,36837.51,70470.51,5000.0,1,0.003,0.0009,0.91,0.0,
tec-wnba-mvp-2026-10-15-w-olimil,tec-wnba-mvp,BUY,0.07,149.95,14516.95,47243.55,5000.0,1,0.0084,0.0026,0.07,0.0012,
tec-wnba-mvp-2026-10-15-w-olimil,tec-wnba-mvp,SELL,0.08,687.71,8224.18,45023.18,5000.0,1,0.0162,0.0051,0.08,0.002,
tec-wnba-mvp-2026-10-15-w-caicla,tec-wnba-mvp,BUY,0.03,26633.66,105087.66,105087.66,5000.0,1,0.0038,0.0012,0.03,0.0013,
tec-wnba-mvp-2026-10-15-w-caicla,tec-wnba-mvp,SELL,0.04,10027.63,27686.97,62146.97,5000.0,1,0.01,0.0031,0.04,0.0025,
tec-wnba-mvp-2026-10-15-w-paibue,tec-wnba-mvp,BUY,0.01,114401.42,114401.42,114401.42,5000.0,1,0.0009,0.0003,0.01,0.0009,
tec-wnba-mvp-2026-10-15-w-paibue,tec-wnba-mvp,SELL,0.02,16030.19,16030.19,51511.19,5000.0,1,0.0062,0.0019,0.02,0.0031,
