year,president,party,approval,pp_seats_before,pp_seat_change
1946,Truman,D,33,242,-54
1950,Truman,D,39,263,-28
1954,Eisenhower,R,61,221,-18
1958,Eisenhower,R,57,201,-48
1962,Kennedy,D,61,262,-4
1966,Johnson,D,44,295,-47
1970,Nixon,R,58,192,-12
1974,Ford,R,54,192,-48
1978,Carter,D,49,292,-15
1982,Reagan,R,42,192,-26
1986,Reagan,R,63,182,-5
1990,Bush,R,58,175,-8
1994,Clinton,D,46,258,-54
1998,Clinton,D,66,206,5
2002,Bush,R,63,221,8
2006,Bush,R,38,232,-30
2010,Obama,D,45,257,-63
2014,Obama,D,42,201,-13
2018,Trump,R,40,241,-40
2022,Biden,D,40,222,-9
